Date,Away Team,Away Score,Home Team,Home Score
2017-4-2,San Francisco Giants,5,Arizona D'Backs,6
2017-4-2,Chicago Cubs,3,St. Louis Cardinals,4
2017-4-2,New York Yankees,3,Tampa Bay Rays,7
2017-4-3,Toronto Blue Jays,2,Baltimore Orioles,3
2017-4-3,Pittsburgh Pirates,3,Boston Red Sox,5
2017-4-3,Philadelphia Phillies,4,Cincinnati Reds,3
2017-4-3,Seattle Mariners,0,Houston Astros,3
2017-4-3,Colorado Rockies,7,Milwaukee Brewers,5
2017-4-3,Kansas City Royals,1,Minnesota Twins,7
2017-4-3,Atlanta Braves,0,New York Mets,6
2017-4-3,Los Angeles Angels,2,Oakland Athletics,4
2017-4-3,Cleveland Indians,8,Texas Rangers,5
2017-4-3,Miami Marlins,2,Washington Nationals,4
2017-4-4,San Francisco Giants,8,Arizona D'Backs,4
2017-4-4,Detroit Tigers,6,Chicago White Sox,3
2017-4-4,Seattle Mariners,1,Houston Astros,2
2017-4-4,San Diego Padres,4,Los Angeles Dodgers,0
2017-4-4,Colorado Rockies,6,Milwaukee Brewers,5
2017-4-4,Los Angeles Angels,7,Oakland Athletics,6
2017-4-4,Chicago Cubs,2,St. Louis Cardinals,1
2017-4-4,New York Yankees,5,Tampa Bay Rays,0
2017-4-4,Cleveland Indians,4,Texas Rangers,3
2017-4-5,San Francisco Giants,6,Arizona D'Backs,8
2017-4-5,Toronto Blue Jays,1,Baltimore Orioles,3
2017-4-5,Pittsburgh Pirates,0,Boston Red Sox,3
2017-4-5,Philadelphia Phillies,0,Cincinnati Reds,2
2017-4-5,Seattle Mariners,3,Houston Astros,5
2017-4-5,San Diego Padres,1,Los Angeles Dodgers,3
2017-4-5,Colorado Rockies,1,Milwaukee Brewers,6
2017-4-5,Kansas City Royals,1,Minnesota Twins,9
2017-4-5,Atlanta Braves,3,New York Mets,1
2017-4-5,Los Angeles Angels,5,Oakland Athletics,0
2017-4-5,New York Yankees,1,Tampa Bay Rays,4
2017-4-5,Cleveland Indians,9,Texas Rangers,6
2017-4-5,Miami Marlins,4,Washington Nationals,6
2017-4-6,San Francisco Giants,3,Arizona D'Backs,9
2017-4-6,Philadelphia Phillies,4,Cincinnati Reds,7
2017-4-6,Seattle Mariners,4,Houston Astros,2
2017-4-6,Colorado Rockies,2,Milwaukee Brewers,1
2017-4-6,Kansas City Royals,3,Minnesota Twins,5
2017-4-6,Atlanta Braves,2,New York Mets,6
2017-4-6,Los Angeles Angels,1,Oakland Athletics,5
2017-4-6,Chicago Cubs,6,St. Louis Cardinals,4
2017-4-6,Toronto Blue Jays,5,Tampa Bay Rays,2
2017-4-6,Miami Marlins,4,Washington Nationals,3
2017-4-7,Seattle Mariners,1,Los Angeles Angels,5
2017-4-7,Cleveland Indians,3,Arizona D'Backs,7
2017-4-7,New York Yankees,5,Baltimore Orioles,6
2017-4-7,Minnesota Twins,3,Chicago White Sox,1
2017-4-7,Los Angeles Dodgers,1,Colorado Rockies,2
2017-4-7,Boston Red Sox,5,Detroit Tigers,6
2017-4-7,Kansas City Royals,5,Houston Astros,1
2017-4-7,Chicago Cubs,1,Milwaukee Brewers,2
2017-4-7,Miami Marlins,7,New York Mets,2
2017-4-7,Washington Nationals,7,Philadelphia Phillies,6
2017-4-7,Atlanta Braves,4,Pittsburgh Pirates,5
2017-4-7,San Francisco Giants,6,San Diego Padres,7
2017-4-7,Cincinnati Reds,2,St. Louis Cardinals,0
2017-4-8,Seattle Mariners,4,Los Angeles Angels,5
2017-4-8,New York Yankees,4,Baltimore Orioles,5
2017-4-8,Minnesota Twins,2,Chicago White Sox,6
2017-4-8,Los Angeles Dodgers,2,Colorado Rockies,4
2017-4-8,Boston Red Sox,1,Detroit Tigers,4
2017-4-8,Kansas City Royals,7,Houston Astros,3
2017-4-8,Miami Marlins,8,New York Mets,1
2017-4-8,Atlanta Braves,4,Pittsburgh Pirates,6
2017-4-8,San Francisco Giants,1,San Diego Padres,2
2017-4-8,Toronto Blue Jays,2,Tampa Bay Rays,3
2017-4-8,Oakland Athletics,6,Texas Rangers,1
2017-4-9,Cleveland Indians,2,Arizona D'Backs,3
2017-4-9,New York Yankees,7,Baltimore Orioles,3
2017-4-9,Minnesota Twins,4,Chicago White Sox,1
2017-4-9,Boston Red Sox,7,Detroit Tigers,5
2017-4-9,Kansas City Royals,4,Houston Astros,5
2017-4-9,Chicago Cubs,7,Milwaukee Brewers,4
2017-4-9,Miami Marlins,2,New York Mets,5
2017-4-9,Washington Nationals,3,Philadelphia Phillies,4
2017-4-9,Atlanta Braves,5,Pittsburgh Pirates,6
2017-4-9,San Francisco Giants,5,San Diego Padres,3
2017-4-9,Cincinnati Reds,8,St. Louis Cardinals,0
2017-4-9,Toronto Blue Jays,2,Tampa Bay Rays,7
2017-4-9,Oakland Athletics,1,Texas Rangers,8
2017-4-10,Los Angeles Dodgers,2,Chicago Cubs,3
2017-4-10,San Diego Padres,5,Colorado Rockies,3
2017-4-10,Boston Red Sox,1,Detroit Tigers,2
2017-4-10,Oakland Athletics,2,Kansas City Royals,0
2017-4-10,Tampa Bay Rays,1,New York Yankees,8
2017-4-10,New York Mets,4,Philadelphia Phillies,3
2017-4-10,Cincinnati Reds,7,Pittsburgh Pirates,1
2017-4-10,Houston Astros,0,Seattle Mariners,6
2017-4-10,Arizona D'Backs,1,San Francisco Giants,4
2017-4-11,Texas Rangers,5,Los Angeles Angels,6
2017-4-11,Baltimore Orioles,1,Boston Red Sox,8
2017-4-11,Chicago White Sox,1,Cleveland Indians,2
2017-4-11,San Diego Padres,2,Colorado Rockies,3
2017-4-11,Minnesota Twins,1,Detroit Tigers,2
2017-4-11,Atlanta Braves,4,Miami Marlins,8
2017-4-11,Cincinnati Reds,6,Pittsburgh Pirates,2
2017-4-11,Houston Astros,7,Seattle Mariners,5
2017-4-11,Arizona D'Backs,4,San Francisco Giants,3
2017-4-11,Milwaukee Brewers,4,Toronto Blue Jays,3
2017-4-11,St. Louis Cardinals,3,Washington Nationals,8
2017-4-12,Texas Rangers,8,Los Angeles Angels,3
2017-4-12,Los Angeles Dodgers,2,Chicago Cubs,0
2017-4-12,Chicago White Sox,2,Cleveland Indians,1
2017-4-12,San Diego Padres,6,Colorado Rockies,0
2017-4-12,Minnesota Twins,3,Detroit Tigers,5
2017-4-12,Oakland Athletics,8,Kansas City Royals,3
2017-4-12,Atlanta Braves,5,Miami Marlins,4
2017-4-12,Tampa Bay Rays,4,New York Yankees,8
2017-4-12,New York Mets,5,Philadelphia Phillies,4
2017-4-12,Cincinnati Reds,9,Pittsburgh Pirates,2
2017-4-12,Arizona D'Backs,2,San Francisco Giants,6
2017-4-12,Milwaukee Brewers,2,Toronto Blue Jays,0
2017-4-12,St. Louis Cardinals,6,Washington Nationals,1
2017-4-13,Texas Rangers,8,Los Angeles Angels,3
2017-4-13,Pittsburgh Pirates,3,Boston Red Sox,4
2017-4-13,Los Angeles Dodgers,0,Chicago Cubs,4
2017-4-13,Milwaukee Brewers,5,Cincinnati Reds,1
2017-4-13,Oakland Athletics,1,Kansas City Royals,3
2017-4-13,New York Mets,9,Miami Marlins,8
2017-4-13,Tampa Bay Rays,2,New York Yankees,3
2017-4-13,Colorado Rockies,3,San Francisco Giants,1
2017-4-13,Baltimore Orioles,2,Toronto Blue Jays,1
2017-4-14,San Diego Padres,2,Atlanta Braves,5
2017-4-14,Pittsburgh Pirates,4,Chicago Cubs,2
2017-4-14,Detroit Tigers,7,Cleveland Indians,6
2017-4-14,Los Angeles Angels,1,Kansas City Royals,7
2017-4-14,Arizona D'Backs,1,Los Angeles Dodgers,7
2017-4-14,New York Mets,2,Miami Marlins,3
2017-4-14,Chicago White Sox,2,Minnesota Twins,1
2017-4-14,St. Louis Cardinals,3,New York Yankees,4
2017-4-14,Houston Astros,7,Oakland Athletics,2
2017-4-14,Texas Rangers,1,Seattle Mariners,2
2017-4-14,Colorado Rockies,2,San Francisco Giants,8
2017-4-14,Baltimore Orioles,6,Toronto Blue Jays,4
2017-4-14,Philadelphia Phillies,2,Washington Nationals,3
2017-4-15,San Diego Padres,2,Atlanta Braves,4
2017-4-15,Tampa Bay Rays,1,Boston Red Sox,2
2017-4-15,Pittsburgh Pirates,8,Chicago Cubs,7
2017-4-15,Milwaukee Brewers,5,Cincinnati Reds,7
2017-4-15,Los Angeles Angels,2,Kansas City Royals,3
2017-4-15,Arizona D'Backs,4,Los Angeles Dodgers,8
2017-4-15,New York Mets,4,Miami Marlins,5
2017-4-15,Chicago White Sox,0,Minnesota Twins,6
2017-4-15,St. Louis Cardinals,2,New York Yankees,3
2017-4-15,Texas Rangers,0,Seattle Mariners,5
2017-4-15,Colorado Rockies,5,San Francisco Giants,0
2017-4-15,Baltimore Orioles,1,Toronto Blue Jays,2
2017-4-15,Philadelphia Phillies,4,Washington Nationals,2
2017-4-16,San Diego Padres,2,Atlanta Braves,9
2017-4-16,Tampa Bay Rays,5,Boston Red Sox,7
2017-4-16,Pittsburgh Pirates,6,Chicago Cubs,1
2017-4-16,Milwaukee Brewers,4,Cincinnati Reds,2
2017-4-16,Detroit Tigers,4,Cleveland Indians,1
2017-4-16,Los Angeles Angels,0,Kansas City Royals,1
2017-4-16,Arizona D'Backs,3,Los Angeles Dodgers,1
2017-4-16,New York Mets,2,Miami Marlins,4
2017-4-16,Chicago White Sox,3,Minnesota Twins,1
2017-4-16,St. Louis Cardinals,3,New York Yankees,9
2017-4-16,Texas Rangers,7,Seattle Mariners,8
2017-4-16,Colorado Rockies,4,San Francisco Giants,3
2017-4-16,Philadelphia Phillies,4,Washington Nationals,6
2017-4-17,San Diego Padres,4,Atlanta Braves,5
2017-4-17,Tampa Bay Rays,3,Boston Red Sox,4
2017-4-17,Milwaukee Brewers,6,Chicago Cubs,3
2017-4-17,Los Angeles Angels,0,Houston Astros,3
2017-4-17,Arizona D'Backs,4,Los Angeles Dodgers,2
2017-4-17,Cleveland Indians,3,Minnesota Twins,1
2017-4-17,Chicago White Sox,4,New York Yankees,7
2017-4-17,Texas Rangers,7,Oakland Athletics,0
2017-4-17,Miami Marlins,1,Seattle Mariners,6
2017-4-17,Pittsburgh Pirates,1,St. Louis Cardinals,2
2017-4-18,Washington Nationals,3,Atlanta Braves,1
2017-4-18,Milwaukee Brewers,7,Chicago Cubs,9
2017-4-18,Baltimore Orioles,3,Cincinnati Reds,9
2017-4-18,Los Angeles Angels,5,Houston Astros,2
2017-4-18,San Francisco Giants,2,Kansas City Royals,1
2017-4-18,Colorado Rockies,4,Los Angeles Dodgers,3
2017-4-18,Chicago White Sox,4,New York Yankees,1
2017-4-18,Philadelphia Phillies,6,New York Mets,2
2017-4-18,Texas Rangers,2,Oakland Athletics,4
2017-4-18,Miami Marlins,5,Seattle Mariners,0
2017-4-18,Pittsburgh Pirates,1,St. Louis Cardinals,2
2017-4-18,Detroit Tigers,1,Tampa Bay Rays,5
2017-4-18,Boston Red Sox,8,Toronto Blue Jays,7
2017-4-19,Milwaukee Brewers,4,Chicago Cubs,7
2017-4-19,Baltimore Orioles,2,Cincinnati Reds,0
2017-4-19,Los Angeles Angels,1,Houston Astros,5
2017-4-19,San Francisco Giants,0,Kansas City Royals,2
2017-4-19,Colorado Rockies,2,Los Angeles Dodgers,4
2017-4-19,Chicago White Sox,1,New York Yankees,9
2017-4-19,Philadelphia Phillies,4,New York Mets,5
2017-4-19,Texas Rangers,1,Oakland Athletics,9
2017-4-19,Arizona D'Backs,0,San Diego Padres,1
2017-4-19,Pittsburgh Pirates,1,St. Louis Cardinals,2
2017-4-19,Detroit Tigers,7,Tampa Bay Rays,8
2017-4-19,Boston Red Sox,0,Toronto Blue Jays,3
2017-4-20,Washington Nationals,3,Atlanta Braves,2
2017-4-20,Baltimore Orioles,2,Cincinnati Reds,1
2017-4-20,Los Angeles Angels,1,Houston Astros,2
2017-4-20,St. Louis Cardinals,5,Milwaukee Brewers,7
2017-4-20,Cleveland Indians,6,Minnesota Twins,2
2017-4-20,Philadelphia Phillies,6,New York Mets,4
2017-4-20,Seattle Mariners,6,Oakland Athletics,9
2017-4-20,Arizona D'Backs,1,San Diego Padres,4
2017-4-20,Detroit Tigers,1,Tampa Bay Rays,8
2017-4-20,Kansas City Royals,0,Texas Rangers,1
2017-4-20,Boston Red Sox,4,Toronto Blue Jays,1
2017-4-21,Toronto Blue Jays,8,Los Angeles Angels,7
2017-4-21,Boston Red Sox,0,Baltimore Orioles,2
2017-4-21,Cleveland Indians,3,Chicago White Sox,0
2017-4-21,Chicago Cubs,6,Cincinnati Reds,5
2017-4-21,San Francisco Giants,5,Colorado Rockies,6
2017-4-21,St. Louis Cardinals,6,Milwaukee Brewers,3
2017-4-21,Detroit Tigers,3,Minnesota Twins,6
2017-4-21,Washington Nationals,4,New York Mets,3
2017-4-21,Seattle Mariners,1,Oakland Athletics,3
2017-4-21,Atlanta Braves,3,Philadelphia Phillies,4
2017-4-21,New York Yankees,3,Pittsburgh Pirates,6
2017-4-21,Miami Marlins,3,San Diego Padres,5
2017-4-21,Houston Astros,6,Tampa Bay Rays,3
2017-4-21,Kansas City Royals,2,Texas Rangers,6
2017-4-22,Toronto Blue Jays,4,Los Angeles Angels,5
2017-4-22,Boston Red Sox,2,Baltimore Orioles,4
2017-4-22,Cleveland Indians,7,Chicago White Sox,0
2017-4-22,St. Louis Cardinals,4,Milwaukee Brewers,1
2017-4-22,Detroit Tigers,5,Minnesota Twins,4
2017-4-22,Washington Nationals,3,New York Mets,1
2017-4-22,Seattle Mariners,3,Oakland Athletics,4
2017-4-22,Atlanta Braves,3,Philadelphia Phillies,4
2017-4-22,Miami Marlins,6,San Diego Padres,3
2017-4-22,Houston Astros,3,Tampa Bay Rays,6
2017-4-22,Kansas City Royals,1,Texas Rangers,2
2017-4-23,Toronto Blue Jays,6,Los Angeles Angels,2
2017-4-23,Los Angeles Dodgers,6,Arizona D'Backs,2
2017-4-23,Boston Red Sox,6,Baltimore Orioles,2
2017-4-23,Cleveland Indians,2,Chicago White Sox,6
2017-4-23,Chicago Cubs,5,Cincinnati Reds,7
2017-4-23,San Francisco Giants,0,Colorado Rockies,8
2017-4-23,St. Louis Cardinals,6,Milwaukee Brewers,4
2017-4-23,Washington Nationals,6,New York Mets,3
2017-4-23,Atlanta Braves,2,Philadelphia Phillies,5
2017-4-23,New York Yankees,1,Pittsburgh Pirates,2
2017-4-23,Miami Marlins,7,San Diego Padres,3
2017-4-23,Houston Astros,6,Tampa Bay Rays,4
2017-4-23,Kansas City Royals,2,Texas Rangers,5
2017-4-24,Toronto Blue Jays,1,Los Angeles Angels,2
2017-4-24,San Diego Padres,6,Arizona D'Backs,7
2017-4-24,Tampa Bay Rays,3,Baltimore Orioles,6
2017-4-24,Washington Nationals,4,Colorado Rockies,8
2017-4-24,Los Angeles Dodgers,1,San Francisco Giants,2
2017-4-24,Minnesota Twins,3,Texas Rangers,2
2017-4-25,Oakland Athletics,1,Los Angeles Angels,2
2017-4-25,San Diego Padres,3,Arizona D'Backs,9
2017-4-25,Tampa Bay Rays,2,Baltimore Orioles,0
2017-4-25,Houston Astros,4,Cleveland Indians,2
2017-4-25,Cincinnati Reds,1,Milwaukee Brewers,9
2017-4-25,Chicago Cubs,1,Pittsburgh Pirates,0
2017-4-25,Los Angeles Dodgers,2,San Francisco Giants,1
2017-4-25,Toronto Blue Jays,6,St. Louis Cardinals,5
2017-4-25,Minnesota Twins,8,Texas Rangers,1
2017-4-26,Oakland Athletics,5,Los Angeles Angels,8
2017-4-26,San Diego Padres,8,Arizona D'Backs,5
2017-4-26,Tampa Bay Rays,4,Baltimore Orioles,5
2017-4-26,New York Yankees,3,Boston Red Sox,1
2017-4-26,Kansas City Royals,2,Chicago White Sox,5
2017-4-26,Houston Astros,6,Cleveland Indians,7
2017-4-26,Seattle Mariners,8,Detroit Tigers,0
2017-4-26,Cincinnati Reds,4,Milwaukee Brewers,9
2017-4-26,Atlanta Braves,8,New York Mets,2
2017-4-26,Miami Marlins,4,Philadelphia Phillies,7
2017-4-26,Chicago Cubs,5,Pittsburgh Pirates,6
2017-4-26,Los Angeles Dodgers,3,San Francisco Giants,4
2017-4-27,Oakland Athletics,1,Los Angeles Angels,2
2017-4-27,San Diego Padres,2,Arizona D'Backs,6
2017-4-27,New York Yankees,3,Boston Red Sox,0
2017-4-27,Houston Astros,3,Cleveland Indians,4
2017-4-27,Seattle Mariners,2,Detroit Tigers,1
2017-4-27,Atlanta Braves,7,New York Mets,5
2017-4-27,Miami Marlins,2,Philadelphia Phillies,3
2017-4-27,Los Angeles Dodgers,5,San Francisco Giants,1
2017-4-27,Toronto Blue Jays,4,St. Louis Cardinals,8
2017-4-27,Toronto Blue Jays,4,St. Louis Cardinals,6
2017-4-28,Colorado Rockies,3,Arizona D'Backs,1
2017-4-28,Chicago Cubs,4,Boston Red Sox,5
2017-4-28,Seattle Mariners,3,Cleveland Indians,1
2017-4-28,Chicago White Sox,7,Detroit Tigers,3
2017-4-28,Oakland Athletics,4,Houston Astros,9
2017-4-28,Minnesota Twins,6,Kansas City Royals,4
2017-4-28,Philadelphia Phillies,3,Los Angeles Dodgers,5
2017-4-28,San Diego Padres,3,San Francisco Giants,4
2017-4-28,Cincinnati Reds,5,St. Louis Cardinals,7
2017-4-28,Los Angeles Angels,6,Texas Rangers,3
2017-4-28,Tampa Bay Rays,7,Toronto Blue Jays,4
2017-4-28,New York Mets,7,Washington Nationals,5
2017-4-29,Colorado Rockies,7,Arizona D'Backs,6
2017-4-29,Chicago Cubs,7,Boston Red Sox,4
2017-4-29,Seattle Mariners,3,Cleveland Indians,4
2017-4-29,Chicago White Sox,6,Detroit Tigers,4
2017-4-29,Oakland Athletics,2,Houston Astros,1
2017-4-29,Philadelphia Phillies,5,Los Angeles Dodgers,6
2017-4-29,Pittsburgh Pirates,4,Miami Marlins,0
2017-4-29,Los Angeles Angels,3,Texas Rangers,6
2017-4-29,Tampa Bay Rays,1,Toronto Blue Jays,4
2017-4-29,New York Mets,5,Washington Nationals,3
2017-4-30,Colorado Rockies,0,Arizona D'Backs,2
2017-4-30,Chicago Cubs,2,Boston Red Sox,6
2017-4-30,Chicago White Sox,3,Detroit Tigers,7
2017-4-30,Oakland Athletics,2,Houston Astros,7
2017-4-30,Minnesota Twins,7,Kansas City Royals,5
2017-4-30,Philadelphia Phillies,3,Los Angeles Dodgers,5
2017-4-30,Atlanta Braves,3,Milwaukee Brewers,4
2017-4-30,Baltimore Orioles,7,New York Yankees,4
2017-4-30,San Diego Padres,5,San Francisco Giants,2
2017-4-30,Cincinnati Reds,5,St. Louis Cardinals,4
2017-4-30,Los Angeles Angels,5,Texas Rangers,2
2017-4-30,Tampa Bay Rays,1,Toronto Blue Jays,3
2017-5-1,New York Mets,7,Atlanta Braves,5
2017-5-1,Baltimore Orioles,5,Boston Red Sox,2
2017-5-1,Pittsburgh Pirates,3,Cincinnati Reds,4
2017-5-1,Cleveland Indians,1,Detroit Tigers,7
2017-5-1,Texas Rangers,2,Houston Astros,6
2017-5-1,Chicago White Sox,1,Kansas City Royals,6
2017-5-1,San Francisco Giants,4,Los Angeles Dodgers,3
2017-5-1,Tampa Bay Rays,4,Miami Marlins,2
2017-5-1,Toronto Blue Jays,7,New York Yankees,1
2017-5-1,Milwaukee Brewers,7,St. Louis Cardinals,5
2017-5-2,New York Mets,7,Atlanta Braves,9
2017-5-2,Baltimore Orioles,2,Boston Red Sox,5
2017-5-2,Philadelphia Phillies,3,Chicago Cubs,8
2017-5-2,Cleveland Indians,2,Detroit Tigers,5
2017-5-2,Texas Rangers,7,Houston Astros,8
2017-5-2,Chicago White Sox,6,Kansas City Royals,0
2017-5-2,Tampa Bay Rays,3,Miami Marlins,1
2017-5-2,Oakland Athletics,1,Minnesota Twins,9
2017-5-2,Colorado Rockies,2,San Diego Padres,6
2017-5-2,Los Angeles Angels,6,Seattle Mariners,4
2017-5-2,Milwaukee Brewers,1,St. Louis Cardinals,2
2017-5-2,Arizona D'Backs,6,Washington Nationals,3
2017-5-3,Baltimore Orioles,2,Boston Red Sox,4
2017-5-3,Philadelphia Phillies,4,Chicago Cubs,5
2017-5-3,Pittsburgh Pirates,2,Cincinnati Reds,7
2017-5-3,Cleveland Indians,3,Detroit Tigers,2
2017-5-3,Chicago White Sox,1,Kansas City Royals,6
2017-5-3,San Francisco Giants,4,Los Angeles Dodgers,1
2017-5-3,Oakland Athletics,4,Minnesota Twins,7
2017-5-3,Toronto Blue Jays,6,New York Yankees,8
2017-5-3,Los Angeles Angels,7,Seattle Mariners,8
2017-5-3,Arizona D'Backs,1,Washington Nationals,2
2017-5-4,Baltimore Orioles,8,Boston Red Sox,3
2017-5-4,Philadelphia Phillies,4,Chicago Cubs,5
2017-5-4,Pittsburgh Pirates,2,Cincinnati Reds,4
2017-5-4,Chicago White Sox,8,Kansas City Royals,3
2017-5-4,Oakland Athletics,8,Minnesota Twins,5
2017-5-4,Colorado Rockies,3,San Diego Padres,2
2017-5-4,Milwaukee Brewers,5,St. Louis Cardinals,4
2017-5-4,Miami Marlins,1,Tampa Bay Rays,5
2017-5-4,Arizona D'Backs,2,Washington Nationals,4
2017-5-5,Houston Astros,7,Los Angeles Angels,6
2017-5-5,Chicago White Sox,2,Baltimore Orioles,4
2017-5-5,New York Yankees,3,Chicago Cubs,2
2017-5-5,Arizona D'Backs,6,Colorado Rockies,3
2017-5-5,Cleveland Indians,1,Kansas City Royals,3
2017-5-5,Boston Red Sox,3,Minnesota Twins,4
2017-5-5,Miami Marlins,7,New York Mets,8
2017-5-5,Detroit Tigers,7,Oakland Athletics,2
2017-5-5,Washington Nationals,4,Philadelphia Phillies,2
2017-5-5,Milwaukee Brewers,0,Pittsburgh Pirates,4
2017-5-5,Los Angeles Dodgers,8,San Diego Padres,2
2017-5-5,Texas Rangers,3,Seattle Mariners,1
2017-5-5,Toronto Blue Jays,8,Tampa Bay Rays,4
2017-5-6,Houston Astros,1,Los Angeles Angels,2
2017-5-6,St. Louis Cardinals,5,Atlanta Braves,3
2017-5-6,Chicago White Sox,5,Baltimore Orioles,6
2017-5-6,Arizona D'Backs,1,Colorado Rockies,9
2017-5-6,Cleveland Indians,3,Kansas City Royals,1
2017-5-6,Detroit Tigers,5,Oakland Athletics,6
2017-5-6,Washington Nationals,6,Philadelphia Phillies,2
2017-5-6,Milwaukee Brewers,1,Pittsburgh Pirates,2
2017-5-6,Texas Rangers,2,Seattle Mariners,8
2017-5-6,Toronto Blue Jays,1,Tampa Bay Rays,6
2017-5-7,Houston Astros,5,Los Angeles Angels,3
2017-5-7,St. Louis Cardinals,6,Atlanta Braves,4
2017-5-7,Chicago White Sox,0,Baltimore Orioles,4
2017-5-7,New York Yankees,5,Chicago Cubs,4
2017-5-7,San Francisco Giants,0,Cincinnati Reds,4
2017-5-7,Arizona D'Backs,2,Colorado Rockies,5
2017-5-7,Cleveland Indians,1,Kansas City Royals,0
2017-5-7,Miami Marlins,7,New York Mets,0
2017-5-7,Detroit Tigers,6,Oakland Athletics,8
2017-5-7,Washington Nationals,5,Philadelphia Phillies,6
2017-5-7,Milwaukee Brewers,6,Pittsburgh Pirates,2
2017-5-7,Texas Rangers,3,Seattle Mariners,4
2017-5-7,Toronto Blue Jays,2,Tampa Bay Rays,1
2017-5-8,Washington Nationals,4,Baltimore Orioles,6
2017-5-8,St. Louis Cardinals,9,Miami Marlins,4
2017-5-8,San Francisco Giants,3,New York Mets,4
2017-5-8,Los Angeles Angels,2,Oakland Athletics,3
2017-5-8,Texas Rangers,1,San Diego Padres,5
2017-5-8,Kansas City Royals,7,Tampa Bay Rays,3
2017-5-8,Cleveland Indians,2,Toronto Blue Jays,4
2017-5-9,Detroit Tigers,7,Arizona D'Backs,3
2017-5-9,Washington Nationals,4,Baltimore Orioles,5
2017-5-9,Minnesota Twins,7,Chicago White Sox,2
