Date,Away Team,Away Score,Home Team,Home Score
2017-8-27,Houston Astros,7,Los Angeles Angels,5
2017-8-27,Colorado Rockies,3,Atlanta Braves,0
2017-8-27,Baltimore Orioles,2,Boston Red Sox,1
2017-8-27,Detroit Tigers,1,Chicago White Sox,7
2017-8-27,Pittsburgh Pirates,5,Cincinnati Reds,2
2017-8-27,Milwaukee Brewers,3,Los Angeles Dodgers,2
2017-8-27,San Diego Padres,2,Miami Marlins,6
2017-8-27,Texas Rangers,3,Oakland Athletics,8
2017-8-27,Chicago Cubs,3,Philadelphia Phillies,6
2017-8-27,Tampa Bay Rays,3,St. Louis Cardinals,2
2017-8-27,Minnesota Twins,7,Toronto Blue Jays,2
2017-8-27,New York Mets,6,Washington Nationals,5
2017-8-27,New York Mets,4,Washington Nationals,5
2017-8-28,Oakland Athletics,1,Los Angeles Angels,3
2017-8-28,Seattle Mariners,6,Baltimore Orioles,7
2017-8-28,Pittsburgh Pirates,1,Chicago Cubs,6
2017-8-28,Detroit Tigers,4,Colorado Rockies,3
2017-8-28,Cleveland Indians,6,New York Yankees,2
2017-8-28,Atlanta Braves,1,Philadelphia Phillies,6
2017-8-28,San Francisco Giants,3,San Diego Padres,0
2017-8-28,Boston Red Sox,6,Toronto Blue Jays,5
2017-8-29,Oakland Athletics,2,Los Angeles Angels,8
2017-8-29,Los Angeles Dodgers,6,Arizona D'Backs,7
2017-8-29,Seattle Mariners,0,Baltimore Orioles,4
2017-8-29,Pittsburgh Pirates,1,Chicago Cubs,4
2017-8-29,Detroit Tigers,3,Colorado Rockies,7
2017-8-29,Tampa Bay Rays,2,Kansas City Royals,6
2017-8-29,Chicago White Sox,4,Minnesota Twins,6
2017-8-29,San Francisco Giants,3,San Diego Padres,6
2017-8-29,Boston Red Sox,3,Toronto Blue Jays,0
2017-8-29,Miami Marlins,3,Washington Nationals,8
2017-8-30,Los Angeles Dodgers,4,Arizona D'Backs,6
2017-8-30,Seattle Mariners,7,Baltimore Orioles,8
2017-8-30,New York Mets,2,Cincinnati Reds,0
2017-8-30,Detroit Tigers,6,Colorado Rockies,2
2017-8-30,Texas Rangers,8,Houston Astros,1
2017-8-30,Tampa Bay Rays,5,Kansas City Royals,3
2017-8-30,St. Louis Cardinals,5,Milwaukee Brewers,6
2017-8-30,Cleveland Indians,2,New York Yankees,1
2017-8-30,Cleveland Indians,9,New York Yankees,4
2017-8-30,Atlanta Braves,9,Philadelphia Phillies,1
2017-8-30,Atlanta Braves,5,Philadelphia Phillies,2
2017-8-30,San Francisco Giants,0,San Diego Padres,5
2017-8-30,Boston Red Sox,7,Toronto Blue Jays,1
2017-8-30,Miami Marlins,0,Washington Nationals,4
2017-8-31,Los Angeles Dodgers,1,Arizona D'Backs,8
2017-8-31,Atlanta Braves,2,Chicago Cubs,6
2017-8-31,New York Mets,2,Cincinnati Reds,7
2017-8-31,Texas Rangers,1,Houston Astros,5
2017-8-31,Philadelphia Phillies,3,Miami Marlins,2
2017-8-31,Washington Nationals,3,Milwaukee Brewers,6
2017-8-31,Chicago White Sox,4,Minnesota Twins,5
2017-8-31,Boston Red Sox,2,New York Yankees,6
2017-8-31,St. Louis Cardinals,5,San Francisco Giants,2
2017-9-1,Toronto Blue Jays,0,Baltimore Orioles,1
2017-9-1,Tampa Bay Rays,3,Chicago White Sox,1
2017-9-1,Atlanta Braves,0,Chicago Cubs,2
2017-9-1,Arizona D'Backs,9,Colorado Rockies,5
2017-9-1,Cleveland Indians,3,Detroit Tigers,2
2017-9-1,Philadelphia Phillies,2,Miami Marlins,1
2017-9-1,Washington Nationals,0,Milwaukee Brewers,1
2017-9-1,Kansas City Royals,7,Minnesota Twins,6
2017-9-1,Boston Red Sox,4,New York Yankees,1
2017-9-1,Cincinnati Reds,7,Pittsburgh Pirates,3
2017-9-1,Los Angeles Dodgers,1,San Diego Padres,0
2017-9-1,Oakland Athletics,2,Seattle Mariners,3
2017-9-2,Toronto Blue Jays,7,Baltimore Orioles,2
2017-9-2,Tampa Bay Rays,4,Chicago White Sox,5
2017-9-2,Arizona D'Backs,6,Colorado Rockies,2
2017-9-2,Cleveland Indians,5,Detroit Tigers,2
2017-9-2,New York Mets,1,Houston Astros,4
2017-9-2,Washington Nationals,3,Milwaukee Brewers,2
2017-9-2,Boston Red Sox,1,New York Yankees,5
2017-9-2,Cincinnati Reds,0,Pittsburgh Pirates,5
2017-9-2,Los Angeles Dodgers,5,San Diego Padres,6
2017-9-2,Los Angeles Dodgers,2,San Diego Padres,7
2017-9-2,Oakland Athletics,6,Seattle Mariners,7
2017-9-2,St. Louis Cardinals,1,San Francisco Giants,2
2017-9-2,Los Angeles Angels,7,Texas Rangers,4
2017-9-3,Toronto Blue Jays,4,Baltimore Orioles,5
2017-9-3,Tampa Bay Rays,2,Chicago White Sox,6
2017-9-3,Atlanta Braves,5,Chicago Cubs,1
2017-9-3,Arizona D'Backs,5,Colorado Rockies,1
2017-9-3,New York Mets,6,Houston Astros,8
2017-9-3,Philadelphia Phillies,3,Miami Marlins,1
2017-9-3,Washington Nationals,2,Milwaukee Brewers,7
2017-9-3,Kansas City Royals,5,Minnesota Twins,4
2017-9-3,Boston Red Sox,2,New York Yankees,9
2017-9-3,Cincinnati Reds,1,Pittsburgh Pirates,3
2017-9-3,Los Angeles Dodgers,4,San Diego Padres,6
2017-9-3,St. Louis Cardinals,7,San Francisco Giants,3
2017-9-3,Los Angeles Angels,6,Texas Rangers,7
2017-9-4,Texas Rangers,8,Atlanta Braves,2
2017-9-4,New York Yankees,7,Baltimore Orioles,4
2017-9-4,Cleveland Indians,5,Chicago White Sox,3
2017-9-4,Milwaukee Brewers,4,Cincinnati Reds,5
2017-9-4,San Francisco Giants,3,Colorado Rockies,4
2017-9-4,Kansas City Royals,7,Detroit Tigers,6
2017-9-4,Washington Nationals,7,Miami Marlins,2
2017-9-4,St. Louis Cardinals,2,San Diego Padres,0
2017-9-4,Houston Astros,6,Seattle Mariners,2
2017-9-5,New York Yankees,6,Baltimore Orioles,7
2017-9-5,Toronto Blue Jays,2,Boston Red Sox,3
2017-9-5,Cleveland Indians,9,Chicago White Sox,4
2017-9-5,Milwaukee Brewers,3,Cincinnati Reds,9
2017-9-5,San Francisco Giants,6,Colorado Rockies,9
2017-9-5,Arizona D'Backs,3,Los Angeles Dodgers,1
2017-9-5,Washington Nationals,2,Miami Marlins,1
2017-9-5,Philadelphia Phillies,9,New York Mets,1
2017-9-5,Los Angeles Angels,8,Oakland Athletics,7
2017-9-5,Chicago Cubs,3,Pittsburgh Pirates,4
2017-9-5,St. Louis Cardinals,8,San Diego Padres,4
2017-9-5,Houston Astros,3,Seattle Mariners,1
2017-9-5,Minnesota Twins,1,Tampa Bay Rays,2
2017-9-6,Texas Rangers,4,Atlanta Braves,5
2017-9-6,Toronto Blue Jays,1,Boston Red Sox,6
2017-9-6,Cleveland Indians,5,Chicago White Sox,1
2017-9-6,Milwaukee Brewers,1,Cincinnati Reds,7
2017-9-6,Arizona D'Backs,3,Los Angeles Dodgers,1
2017-9-6,Washington Nationals,8,Miami Marlins,1
2017-9-6,Philadelphia Phillies,3,New York Mets,6
2017-9-6,Los Angeles Angels,1,Oakland Athletics,3
2017-9-6,Chicago Cubs,1,Pittsburgh Pirates,0
2017-9-6,St. Louis Cardinals,3,San Diego Padres,1
2017-9-6,Houston Astros,5,Seattle Mariners,3
2017-9-7,Miami Marlins,5,Atlanta Braves,6
2017-9-7,New York Yankees,9,Baltimore Orioles,1
2017-9-7,Minnesota Twins,4,Kansas City Royals,2
2017-9-7,Colorado Rockies,9,Los Angeles Dodgers,1
2017-9-7,Cincinnati Reds,2,New York Mets,7
2017-9-7,Chicago Cubs,8,Pittsburgh Pirates,2
2017-9-7,St. Louis Cardinals,0,San Diego Padres,3
2017-9-7,Philadelphia Phillies,3,Washington Nationals,4
2017-9-8,Miami Marlins,7,Atlanta Braves,1
2017-9-8,Tampa Bay Rays,3,Boston Red Sox,9
2017-9-8,San Francisco Giants,9,Chicago White Sox,2
2017-9-8,Milwaukee Brewers,2,Chicago Cubs,0
2017-9-8,Baltimore Orioles,0,Cleveland Indians,5
2017-9-8,Minnesota Twins,8,Kansas City Royals,5
2017-9-8,Colorado Rockies,5,Los Angeles Dodgers,4
2017-9-8,Cincinnati Reds,1,New York Mets,5
2017-9-8,Houston Astros,8,Oakland Athletics,9
2017-9-8,Los Angeles Angels,3,Seattle Mariners,4
2017-9-8,Pittsburgh Pirates,1,St. Louis Cardinals,4
2017-9-8,Detroit Tigers,5,Toronto Blue Jays,4
2017-9-9,San Diego Padres,8,Arizona D'Backs,7
2017-9-9,Miami Marlins,5,Atlanta Braves,6
2017-9-9,Tampa Bay Rays,0,Boston Red Sox,9
2017-9-9,Baltimore Orioles,2,Cleveland Indians,4
2017-9-9,Minnesota Twins,2,Kansas City Royals,5
2017-9-9,Colorado Rockies,6,Los Angeles Dodgers,5
2017-9-9,Cincinnati Reds,1,New York Mets,6
2017-9-9,Los Angeles Angels,1,Seattle Mariners,8
2017-9-9,Pittsburgh Pirates,3,St. Louis Cardinals,4
2017-9-9,New York Yankees,3,Texas Rangers,1
2017-9-9,Detroit Tigers,4,Toronto Blue Jays,5
2017-9-9,Philadelphia Phillies,5,Washington Nationals,4
2017-9-10,San Diego Padres,2,Arizona D'Backs,3
2017-9-10,Tampa Bay Rays,4,Boston Red Sox,1
2017-9-10,San Francisco Giants,1,Chicago White Sox,8
2017-9-10,Milwaukee Brewers,3,Chicago Cubs,1
2017-9-10,Baltimore Orioles,2,Cleveland Indians,3
2017-9-10,Colorado Rockies,8,Los Angeles Dodgers,1
2017-9-10,Los Angeles Angels,5,Seattle Mariners,3
2017-9-10,Pittsburgh Pirates,0,St. Louis Cardinals,7
2017-9-10,Detroit Tigers,2,Toronto Blue Jays,8
2017-9-10,Philadelphia Phillies,2,Washington Nationals,3
2017-9-11,Colorado Rockies,5,Arizona D'Backs,4
2017-9-11,Pittsburgh Pirates,7,Milwaukee Brewers,0
2017-9-11,Los Angeles Dodgers,6,San Francisco Giants,8
2017-9-11,New York Yankees,5,Tampa Bay Rays,1
2017-9-11,Seattle Mariners,3,Texas Rangers,5
2017-9-11,Baltimore Orioles,3,Toronto Blue Jays,4
2017-9-12,Houston Astros,1,Los Angeles Angels,0
2017-9-12,Colorado Rockies,4,Arizona D'Backs,2
2017-9-12,New York Mets,3,Chicago Cubs,8
2017-9-12,Detroit Tigers,0,Cleveland Indians,2
2017-9-12,Chicago White Sox,3,Kansas City Royals,4
2017-9-12,Pittsburgh Pirates,2,Milwaukee Brewers,5
2017-9-12,Miami Marlins,8,Philadelphia Phillies,9
2017-9-12,Los Angeles Dodgers,5,San Francisco Giants,3
2017-9-12,New York Yankees,1,Tampa Bay Rays,2
2017-9-12,Baltimore Orioles,2,Toronto Blue Jays,3
2017-9-12,Atlanta Braves,8,Washington Nationals,0
2017-9-13,Houston Astros,1,Los Angeles Angels,9
2017-9-13,Colorado Rockies,2,Arizona D'Backs,8
2017-9-13,Oakland Athletics,7,Boston Red Sox,3
2017-9-13,Detroit Tigers,3,Cleveland Indians,5
2017-9-13,Chicago White Sox,5,Kansas City Royals,3
2017-9-13,Pittsburgh Pirates,2,Milwaukee Brewers,8
2017-9-13,San Diego Padres,1,Minnesota Twins,3
2017-9-13,Miami Marlins,1,Philadelphia Phillies,8
2017-9-13,Los Angeles Dodgers,4,San Francisco Giants,1
2017-9-13,Cincinnati Reds,6,St. Louis Cardinals,0
2017-9-13,New York Yankees,3,Tampa Bay Rays,2
2017-9-13,Seattle Mariners,8,Texas Rangers,1
2017-9-13,Baltimore Orioles,2,Toronto Blue Jays,1
2017-9-13,Atlanta Braves,8,Washington Nationals,2
2017-9-14,Houston Astros,5,Los Angeles Angels,2
2017-9-14,Colorado Rockies,0,Arizona D'Backs,7
2017-9-14,Oakland Athletics,2,Boston Red Sox,6
2017-9-14,Kansas City Royals,2,Cleveland Indians,3
2017-9-14,Toronto Blue Jays,2,Minnesota Twins,3
2017-9-14,Cincinnati Reds,2,St. Louis Cardinals,5
2017-9-14,Atlanta Braves,2,Washington Nationals,5
2017-9-15,Texas Rangers,6,Los Angeles Angels,7
2017-9-15,New York Mets,2,Atlanta Braves,3
2017-9-15,St. Louis Cardinals,2,Chicago Cubs,8
2017-9-15,Pittsburgh Pirates,2,Cincinnati Reds,4
2017-9-15,Kansas City Royals,4,Cleveland Indians,3
2017-9-15,San Diego Padres,1,Colorado Rockies,6
2017-9-15,Chicago White Sox,2,Detroit Tigers,3
2017-9-15,Seattle Mariners,2,Houston Astros,5
2017-9-15,Toronto Blue Jays,4,Minnesota Twins,3
2017-9-15,Baltimore Orioles,2,New York Yankees,8
2017-9-15,Oakland Athletics,4,Philadelphia Phillies,0
2017-9-15,Arizona D'Backs,3,San Francisco Giants,2
2017-9-15,Los Angeles Dodgers,7,Washington Nationals,0
2017-9-16,Texas Rangers,0,Los Angeles Angels,2
2017-9-16,New York Mets,7,Atlanta Braves,3
2017-9-16,St. Louis Cardinals,1,Chicago Cubs,4
2017-9-16,Pittsburgh Pirates,1,Cincinnati Reds,2
2017-9-16,Kansas City Royals,4,Cleveland Indians,8
2017-9-16,Seattle Mariners,6,Houston Astros,8
2017-9-16,Milwaukee Brewers,4,Miami Marlins,7
2017-9-16,Toronto Blue Jays,7,Minnesota Twins,2
2017-9-16,Baltimore Orioles,3,New York Yankees,9
2017-9-16,Oakland Athletics,3,Philadelphia Phillies,5
2017-9-16,Arizona D'Backs,2,San Francisco Giants,0
2017-9-16,Boston Red Sox,3,Tampa Bay Rays,1
2017-9-16,Los Angeles Dodgers,3,Washington Nationals,2
2017-9-17,Texas Rangers,4,Los Angeles Angels,2
2017-9-17,New York Mets,5,Atlanta Braves,1
2017-9-17,St. Louis Cardinals,3,Chicago Cubs,4
2017-9-17,Pittsburgh Pirates,2,Cincinnati Reds,5
2017-9-17,Kansas City Royals,2,Cleveland Indians,3
2017-9-17,San Diego Padres,4,Colorado Rockies,3
2017-9-17,Seattle Mariners,1,Houston Astros,7
2017-9-17,Baltimore Orioles,6,New York Yankees,4
2017-9-17,Oakland Athletics,6,Philadelphia Phillies,3
2017-9-17,Arizona D'Backs,2,San Francisco Giants,7
2017-9-17,Boston Red Sox,2,Tampa Bay Rays,3
2017-9-17,Los Angeles Dodgers,1,Washington Nationals,7
2017-9-18,Oakland Athletics,8,Detroit Tigers,3
2017-9-18,Minnesota Twins,1,New York Yankees,2
2017-9-18,Los Angeles Dodgers,3,Philadelphia Phillies,4
2017-9-18,Milwaukee Brewers,3,Pittsburgh Pirates,0
2017-9-18,Arizona D'Backs,2,San Diego Padres,4
2017-9-19,Cleveland Indians,6,Los Angeles Angels,3
2017-9-19,Washington Nationals,4,Atlanta Braves,2
2017-9-19,Boston Red Sox,1,Baltimore Orioles,0
2017-9-19,St. Louis Cardinals,8,Cincinnati Reds,7
2017-9-19,Oakland Athletics,9,Detroit Tigers,8
2017-9-19,Chicago White Sox,1,Houston Astros,3
2017-9-19,New York Mets,4,Miami Marlins,5
2017-9-19,Minnesota Twins,2,New York Yankees,5
2017-9-19,Los Angeles Dodgers,2,Philadelphia Phillies,6
2017-9-19,Milwaukee Brewers,1,Pittsburgh Pirates,0
2017-9-19,Arizona D'Backs,2,San Diego Padres,6
2017-9-19,Texas Rangers,3,Seattle Mariners,1
2017-9-19,Colorado Rockies,3,San Francisco Giants,4
2017-9-19,Chicago Cubs,2,Tampa Bay Rays,1
2017-9-19,Kansas City Royals,2,Toronto Blue Jays,5
2017-9-20,Cleveland Indians,6,Los Angeles Angels,5
2017-9-20,Washington Nationals,7,Atlanta Braves,3
2017-9-20,Boston Red Sox,9,Baltimore Orioles,0
2017-9-20,St. Louis Cardinals,9,Cincinnati Reds,2
2017-9-20,Oakland Athletics,3,Detroit Tigers,2
2017-9-20,Chicago White Sox,3,Houston Astros,4
2017-9-20,New York Mets,2,Miami Marlins,9
2017-9-20,Los Angeles Dodgers,5,Philadelphia Phillies,7
2017-9-20,Milwaukee Brewers,4,Pittsburgh Pirates,6
2017-9-20,Texas Rangers,8,Seattle Mariners,6
2017-9-20,Colorado Rockies,0,San Francisco Giants,4
2017-9-20,Chicago Cubs,1,Tampa Bay Rays,8
2017-9-21,Cleveland Indians,4,Los Angeles Angels,1
2017-9-21,Washington Nationals,2,Atlanta Braves,3
2017-9-21,Tampa Bay Rays,1,Baltimore Orioles,3
2017-9-21,St. Louis Cardinals,8,Cincinnati Reds,5
2017-9-21,Chicago White Sox,3,Houston Astros,1
2017-9-21,Chicago Cubs,5,Milwaukee Brewers,3
2017-9-21,Los Angeles Dodgers,5,Philadelphia Phillies,4
2017-9-21,Colorado Rockies,0,San Diego Padres,3
2017-9-21,Texas Rangers,4,Seattle Mariners,2
2017-9-21,Kansas City Royals,1,Toronto Blue Jays,0
2017-9-22,Philadelphia Phillies,2,Atlanta Braves,7
2017-9-22,Tampa Bay Rays,8,Baltimore Orioles,3
2017-9-22,Kansas City Royals,6,Chicago White Sox,7
2017-9-22,Boston Red Sox,5,Cincinnati Reds,4
2017-9-22,Minnesota Twins,7,Detroit Tigers,3
2017-9-22,Los Angeles Angels,0,Houston Astros,3
2017-9-22,San Francisco Giants,2,Los Angeles Dodgers,4
2017-9-22,Chicago Cubs,5,Milwaukee Brewers,4
2017-9-22,Washington Nationals,6,New York Mets,7
2017-9-22,Texas Rangers,1,Oakland Athletics,4
2017-9-22,St. Louis Cardinals,4,Pittsburgh Pirates,3
2017-9-22,Colorado Rockies,4,San Diego Padres,1
2017-9-22,Cleveland Indians,1,Seattle Mariners,3
2017-9-22,New York Yankees,1,Toronto Blue Jays,8
2017-9-23,Philadelphia Phillies,2,Atlanta Braves,4
2017-9-23,Tampa Bay Rays,9,Baltimore Orioles,6
2017-9-23,Kansas City Royals,8,Chicago White Sox,2
2017-9-23,Boston Red Sox,5,Cincinnati Reds,0
2017-9-23,Los Angeles Angels,2,Houston Astros,6
2017-9-23,San Francisco Giants,2,Los Angeles Dodgers,1
2017-9-23,Chicago Cubs,3,Milwaukee Brewers,4
2017-9-23,Washington Nationals,4,New York Mets,3
2017-9-23,Texas Rangers,0,Oakland Athletics,1
2017-9-23,Colorado Rockies,0,San Diego Padres,5
2017-9-23,New York Yankees,5,Toronto Blue Jays,1
2017-9-24,Miami Marlins,2,Arizona D'Backs,3
2017-9-24,Philadelphia Phillies,2,Atlanta Braves,0
2017-9-24,Tampa Bay Rays,4,Baltimore Orioles,9
2017-9-24,Kansas City Royals,1,Chicago White Sox,8
2017-9-24,Boston Red Sox,5,Cincinnati Reds,4
2017-9-24,Los Angeles Angels,7,Houston Astros,5
2017-9-24,San Francisco Giants,1,Los Angeles Dodgers,3
2017-9-24,Chicago Cubs,5,Milwaukee Brewers,0
2017-9-24,Washington Nationals,3,New York Mets,2
2017-9-24,Texas Rangers,1,Oakland Athletics,8
2017-9-24,St. Louis Cardinals,1,Pittsburgh Pirates,4
2017-9-24,Colorado Rockies,8,San Diego Padres,4
2017-9-24,Cleveland Indians,4,Seattle Mariners,2
2017-9-24,New York Yankees,5,Toronto Blue Jays,9
2017-9-25,San Francisco Giants,9,Arizona D'Backs,2
2017-9-25,Toronto Blue Jays,6,Boston Red Sox,4
2017-9-25,Los Angeles Angels,2,Chicago White Sox,4
2017-9-25,Miami Marlins,5,Colorado Rockies,4
2017-9-25,San Diego Padres,3,Los Angeles Dodgers,9
2017-9-25,Atlanta Braves,9,New York Mets,2
2017-9-25,Atlanta Braves,2,New York Mets,3
2017-9-25,Seattle Mariners,7,Oakland Athletics,1
2017-9-25,Washington Nationals,3,Philadelphia Phillies,1
2017-9-26,Toronto Blue Jays,9,Boston Red Sox,4
2017-9-26,Los Angeles Angels,9,Chicago White Sox,3
2017-9-26,Minnesota Twins,8,Cleveland Indians,6
2017-9-26,Miami Marlins,0,Colorado Rockies,6
2017-9-26,Detroit Tigers,1,Kansas City Royals,2
2017-9-26,San Diego Padres,2,Los Angeles Dodgers,9
2017-9-26,Cincinnati Reds,6,Milwaukee Brewers,7
2017-9-26,Tampa Bay Rays,1,New York Yankees,6
2017-9-26,Atlanta Braves,3,New York Mets,4
2017-9-26,Seattle Mariners,6,Oakland Athletics,3
2017-9-26,Washington Nationals,1,Philadelphia Phillies,4
2017-9-26,Chicago Cubs,7,St. Louis Cardinals,8
2017-9-27,San Francisco Giants,3,Arizona D'Backs,4
2017-9-27,Los Angeles Angels,4,Chicago White Sox,6
2017-9-27,Minnesota Twins,2,Cleveland Indians,4
2017-9-27,Detroit Tigers,4,Kansas City Royals,7
2017-9-27,Cincinnati Reds,6,Milwaukee Brewers,0
2017-9-27,Tampa Bay Rays,1,New York Yankees,6
2017-9-27,Atlanta Braves,1,New York Mets,7
2017-9-27,Seattle Mariners,5,Oakland Athletics,6
2017-9-27,Washington Nationals,5,Philadelphia Phillies,7
2017-9-27,Baltimore Orioles,3,Pittsburgh Pirates,5
2017-9-27,Chicago Cubs,5,St. Louis Cardinals,1
2017-9-28,Los Angeles Angels,4,Chicago White Sox,5
2017-9-28,Minnesota Twins,2,Cleveland Indians,5
2017-9-28,Detroit Tigers,4,Kansas City Royals,1
2017-9-28,Atlanta Braves,1,Miami Marlins,7
2017-9-28,Cincinnati Reds,3,Milwaukee Brewers,4
2017-9-28,Tampa Bay Rays,9,New York Yankees,6
2017-9-28,Chicago Cubs,2,St. Louis Cardinals,1
2017-9-28,Oakland Athletics,4,Texas Rangers,1
2017-9-28,Pittsburgh Pirates,4,Washington Nationals,5
2017-9-29,Seattle Mariners,5,Los Angeles Angels,6
2017-9-29,Houston Astros,3,Boston Red Sox,2
2017-9-29,Cincinnati Reds,4,Chicago Cubs,5
2017-9-29,Los Angeles Dodgers,1,Colorado Rockies,9
2017-9-29,Arizona D'Backs,1,Kansas City Royals,2
2017-9-29,Atlanta Braves,5,Miami Marlins,6
2017-9-29,Detroit Tigers,3,Minnesota Twins,6
2017-9-29,Toronto Blue Jays,0,New York Yankees,4
2017-9-29,New York Mets,2,Philadelphia Phillies,6
2017-9-29,San Diego Padres,0,San Francisco Giants,8
2017-9-29,Milwaukee Brewers,5,St. Louis Cardinals,3
2017-9-29,Baltimore Orioles,0,Tampa Bay Rays,7
2017-9-29,Oakland Athletics,3,Texas Rangers,5
2017-9-29,Pittsburgh Pirates,1,Washington Nationals,6
2017-9-30,Seattle Mariners,6,Los Angeles Angels,4
2017-9-30,Houston Astros,3,Boston Red Sox,6
2017-9-30,Cincinnati Reds,0,Chicago Cubs,9
2017-9-30,Chicago White Sox,2,Cleveland Indians,1
2017-9-30,Los Angeles Dodgers,5,Colorado Rockies,3
2017-9-30,Arizona D'Backs,3,Kansas City Royals,4
2017-9-30,Detroit Tigers,3,Minnesota Twins,2
2017-9-30,Toronto Blue Jays,1,New York Yankees,2
2017-9-30,New York Mets,7,Philadelphia Phillies,4
2017-9-30,San Diego Padres,3,San Francisco Giants,2
2017-9-30,Milwaukee Brewers,6,St. Louis Cardinals,7
2017-9-30,Baltimore Orioles,3,Tampa Bay Rays,4
2017-9-30,Oakland Athletics,4,Texas Rangers,8
2017-9-30,Pittsburgh Pirates,4,Washington Nationals,1
2017-10-1,Seattle Mariners,2,Los Angeles Angels,6
2017-10-1,Houston Astros,4,Boston Red Sox,3
2017-10-1,Cincinnati Reds,3,Chicago Cubs,1
2017-10-1,Chicago White Sox,1,Cleveland Indians,3
2017-10-1,Los Angeles Dodgers,6,Colorado Rockies,3
2017-10-1,Atlanta Braves,8,Miami Marlins,5
2017-10-1,Detroit Tigers,1,Minnesota Twins,5
2017-10-1,Toronto Blue Jays,2,New York Yankees,1
2017-10-1,San Diego Padres,4,San Francisco Giants,5
2017-10-1,Milwaukee Brewers,6,St. Louis Cardinals,1
2017-10-1,Baltimore Orioles,0,Tampa Bay Rays,6
2017-10-1,Oakland Athletics,5,Texas Rangers,2
